            x            y            a            d            m            sx            sy             sm            c
   336.086853  1342.749268   266.469765   -28.699781    13.692283     0.003843     0.003587     0.002365     0.971792
  1113.178467   307.334900   266.522003   -28.813643    13.693897     0.003882     0.003629     0.002380     0.979017
   337.383087  1363.474243   266.467778   -28.698867    13.693950     0.003952     0.003673     0.002400     0.975184
  1395.561401  1123.491821   266.430696   -28.796404    13.694006     0.003463     0.002434     0.003372     0.985171
  1260.563965   961.607544   266.453230   -28.793428    13.696454     0.003965     0.003668     0.002400     0.984691
   803.929199  1352.808594   266.442644   -28.737192    13.702810     0.003871     0.003597     0.002383     0.982810
   365.664276  1059.250854   266.494308   -28.716113    13.728702     0.004052     0.003724     0.002459     0.991608
   526.499207  1543.922729   266.440520   -28.705316    13.738430     0.004099     0.003699     0.002479     0.985135
   991.996704  1499.372803   266.418564   -28.745219    13.757083     0.004080     0.003852     0.002519     0.984415
   662.851746  1432.599854   266.443171   -28.721838    13.765512     0.004140     0.003894     0.002543     0.975974
   595.678162  1585.660767   266.432790   -28.708868    13.772954     0.004225     0.003915     0.002566     0.986144
   470.832489   336.713501   266.555228   -28.760132    13.773612     0.004169     0.003886     0.002555     0.983936
  1180.246460  1458.477661   266.411795   -28.762481    13.774973     0.004214     0.003947     0.002578     0.989948
   991.385193  1412.069580   266.426667   -28.749464    13.777865     0.004239     0.003834     0.002565     0.977277
   361.669067   675.495239   266.530005   -28.734645    13.779153     0.004259     0.003969     0.002592     0.984720
  1514.093140   896.665833   266.445029   -28.817164    13.804738     0.004272     0.004014     0.002630     0.984653
  1255.143799   367.752075   266.508465   -28.822181    13.816840     0.004326     0.004025     0.002655     0.985009
   677.458130  1518.247681   266.434439   -28.718809    13.817857     0.004425     0.004047     0.002678     0.987598
   524.165588   676.369141   266.520834   -28.747772    13.831478     0.004404     0.004131     0.002704     0.981297
  1323.881958  1000.416504   266.446094   -28.796650    13.834108     0.004463     0.003975     0.003249     0.784252
   484.045959  1533.696777   266.443841   -28.702380    13.837787     0.004392     0.004123     0.002707     0.985717
   566.929504  1570.942261   266.435760   -28.707263    13.856052     0.004448     0.004095     0.002736     0.989255
  1246.548340   487.346100   266.497881   -28.815607    13.859636     0.004607     0.004248     0.002789     0.984908
   416.234283  1168.691772   266.481364   -28.714832    13.861882     0.004549     0.004229     0.002778     0.990071
   708.941345   563.260376   266.520955   -28.768305    13.862523     0.004491     0.004199     0.002767     0.985405
  1512.245972   797.374207   266.454317   -28.821897    13.878859     0.004633     0.004323     0.002830     0.983113
  1263.610352  1551.738892   266.398503   -28.764645    13.881976     0.004683     0.004297     0.002835     0.984277
   654.454773   355.495361   266.543220   -28.774095    13.897935     0.004781     0.004433     0.002901     0.984114
   357.005829  1113.802979   266.489751   -28.712730    13.898360     0.004625     0.004305     0.002852     0.989449
  1280.535522    40.204884   266.537354   -28.840330    13.900314     0.004770     0.004346     0.002883     0.984286
   393.707550  1154.227417   266.483961   -28.713717    13.907107     0.004759     0.004376     0.002894     0.979701
